DATE,10Y Treasury,10Y TIPS
2019-01-07,2.7,0.92
2019-01-08,2.73,0.91
2019-01-09,2.74,0.91
2019-01-10,2.74,0.93
2019-01-11,2.71,0.88
2019-01-14,2.71,0.9
2019-01-15,2.72,0.91
2019-01-16,2.73,0.91
2019-01-17,2.75,0.96
2019-01-18,2.79,0.96
2019-01-22,2.74,0.95
2019-01-23,2.76,0.96
2019-01-24,2.72,0.95
2019-01-25,2.76,0.97
2019-01-28,2.75,0.97
2019-01-29,2.72,0.94
2019-01-30,2.7,0.86
2019-01-31,2.63,0.78
2019-02-01,2.7,0.82
2019-02-04,2.73,0.86
2019-02-05,2.71,0.84
2019-02-06,2.7,0.84
2019-02-07,2.65,0.81
2019-02-08,2.63,0.81
2019-02-11,2.65,0.83
2019-02-12,2.68,0.85
2019-02-13,2.71,0.85
2019-02-14,2.66,0.81
2019-02-15,2.66,0.8
2019-02-19,2.65,0.78
2019-02-20,2.65,0.76
2019-02-21,2.69,0.78
2019-02-22,2.65,0.74
2019-02-25,2.67,0.75
2019-02-26,2.64,0.72
2019-02-27,2.69,0.76
2019-02-28,2.73,0.78
2019-03-01,2.76,0.8
2019-03-04,2.72,0.78
2019-03-05,2.72,0.79
2019-03-06,2.69,0.78
2019-03-07,2.64,0.74
2019-03-08,2.62,0.72
2019-03-11,2.64,0.73
2019-03-12,2.61,0.71
2019-03-13,2.61,0.69
2019-03-14,2.63,0.69
2019-03-15,2.59,0.65
2019-03-18,2.6,0.64
2019-03-19,2.61,0.66
2019-03-20,2.54,0.58
2019-03-21,2.54,0.58
2019-03-22,2.44,0.54
2019-03-25,2.43,0.55
2019-03-26,2.41,0.55
2019-03-27,2.39,0.55
2019-03-28,2.39,0.56
2019-03-29,2.41,0.53
2019-04-01,2.49,0.59
2019-04-02,2.48,0.58
2019-04-03,2.52,0.61
2019-04-04,2.51,0.61
2019-04-05,2.5,0.6
2019-04-08,2.52,0.61
2019-04-09,2.51,0.6
2019-04-10,2.48,0.54
2019-04-11,2.51,0.57
2019-04-12,2.56,0.61
2019-04-15,2.55,0.61
2019-04-16,2.6,0.64
2019-04-17,2.59,0.65
2019-04-18,2.57,0.62
2019-04-22,2.59,0.64
2019-04-23,2.57,0.62
2019-04-24,2.53,0.57
2019-04-25,2.54,0.56
2019-04-26,2.51,0.54
2019-04-29,2.54,0.58
2019-04-30,2.51,0.56
2019-05-01,2.52,0.59
2019-05-02,2.55,0.66
2019-05-03,2.54,0.63
2019-05-06,2.51,0.6
2019-05-07,2.45,0.58
2019-05-08,2.49,0.62
2019-05-09,2.45,0.6
2019-05-10,2.47,0.59
2019-05-13,2.4,0.55
2019-05-14,2.42,0.56
2019-05-15,2.37,0.54
2019-05-16,2.4,0.56
2019-05-17,2.39,0.58
2019-05-20,2.41,0.6
2019-05-21,2.43,0.6
2019-05-22,2.39,0.6
2019-05-23,2.31,0.58
2019-05-24,2.32,0.56
2019-05-28,2.26,0.53
2019-05-29,2.25,0.5
2019-05-30,2.22,0.48
2019-05-31,2.14,0.4
2019-06-03,2.07,0.34
2019-06-04,2.12,0.38
2019-06-05,2.12,0.37
2019-06-06,2.12,0.39
2019-06-07,2.09,0.35
2019-06-10,2.15,0.42
2019-06-11,2.15,0.43
2019-06-12,2.13,0.42
2019-06-13,2.1,0.42
2019-06-14,2.09,0.46
2019-06-17,2.09,0.48
2019-06-18,2.06,0.42
2019-06-19,2.03,0.36
2019-06-20,2.01,0.27
